City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
82,Leh,IN,34.17,77.58,63.1,26,0,4.85,clear sky
83,Mitu,CO,1.2,-70.17,83.59,59,78,2.42,broken clouds
84,Ewa Beach,US,21.32,-158.01,86.0,58,75,8.05,broken clouds
85,Homer,US,59.64,-151.55,59.0,82,90,8.05,light rain
86,Saskylakh,RU,71.92,114.08,39.92,86,0,6.76,clear sky
87,Castro,BR,-24.79,-50.01,51.01,85,20,8.08,few clouds
88,Behshahr,IR,36.69,53.55,70.34,79,100,6.15,light rain
89,Tatarbunary,UA,45.84,29.61,68.2,72,0,5.19,clear sky
90,Dwarka,IN,22.24,68.97,82.62,83,100,18.72,overcast clouds
91,Hirado,JP,33.36,129.55,75.99,82,2,5.88,clear sky
92,Melfi,IT,41.0,15.65,79.0,74,5,2.24,clear sky
93,Constitucion,CL,-35.33,-72.42,53.11,75,100,17.92,overcast clouds
94,Butaritari,KI,3.07,172.79,82.78,69,97,10.56,overcast clouds
95,Tevaitoa,PF,-16.78,-151.5,77.25,77,18,20.07,few clouds
96,Alyangula,AU,-13.85,136.42,53.6,93,0,2.24,clear sky
97,Karksi-Nuia,EE,58.1,25.56,60.01,91,27,7.09,scattered clouds
98,Bodden Town,KY,19.28,-81.25,91.0,75,20,9.17,few clouds
99,Touros,BR,-5.2,-35.46,78.8,65,20,12.75,few clouds
100,Senanga,ZM,-16.12,23.27,62.69,36,3,5.75,clear sky
101,Kodiak,US,57.79,-152.41,60.8,77,90,3.36,overcast clouds
102,Keti Bandar,PK,24.14,67.45,83.48,83,100,20.96,overcast clouds
103,Barra Patuca,HN,15.8,-84.28,85.86,73,1,11.21,clear sky
104,Tasiilaq,GL,65.61,-37.64,42.8,87,0,6.93,clear sky
105,Kloulklubed,PW,7.04,134.26,80.6,83,75,6.93,broken clouds
106,Abnub,EG,27.27,31.15,86.0,37,0,11.41,clear sky
107,New Norfolk,AU,-42.78,147.06,37.99,88,11,1.99,few clouds
108,Grindavik,IS,63.84,-22.43,53.6,71,44,6.93,scattered clouds
109,Dikson,RU,73.51,80.55,45.21,83,0,10.85,clear sky
110,Severo-Kurilsk,RU,50.68,156.12,53.28,78,31,0.22,scattered clouds
111,Kavieng,PG,-2.57,150.8,77.72,91,99,15.08,moderate rain
112,Lakatoro,VU,-16.1,167.42,77.0,100,75,6.58,broken clouds
113,Clearwater,US,27.97,-82.8,91.99,70,40,3.36,moderate rain
114,College,US,64.86,-147.8,64.99,63,75,1.5,broken clouds
115,Auki,SB,-8.77,160.7,79.34,83,65,3.62,broken clouds
116,Pathein,MM,16.78,94.73,76.73,92,100,4.68,light rain
117,Iisalmi,FI,63.56,27.19,57.2,93,1,5.82,clear sky
118,Saint George,US,37.1,-113.58,104.0,21,1,5.82,clear sky
119,Umm Lajj,SA,25.02,37.27,83.07,60,0,1.86,clear sky
120,Geraldton,AU,-28.77,114.6,46.4,93,75,8.05,broken clouds
121,Marawi,PH,8.0,124.29,75.0,92,73,4.0,broken clouds
122,Great Falls,US,47.5,-111.3,89.6,17,1,12.75,clear sky
123,Busselton,AU,-33.65,115.33,42.01,81,0,3.83,clear sky
124,Zeya,RU,53.75,127.27,57.74,79,100,4.09,overcast clouds
125,Bukoba,TZ,-1.33,31.81,69.78,60,68,4.7,broken clouds
126,Belyy Yar,RU,53.6,91.39,59.0,77,84,6.71,broken clouds
127,Dunedin,NZ,-45.87,170.5,48.99,96,100,13.78,light rain
128,Sept-Iles,CA,50.2,-66.38,64.4,59,20,9.17,few clouds
129,Bukavu,CD,-2.51,28.86,62.46,67,87,1.63,overcast clouds
130,Chichli,IN,22.83,78.82,74.77,89,94,4.63,overcast clouds
131,East London,ZA,-33.02,27.91,60.82,75,4,6.58,clear sky
132,Lerwick,GB,60.15,-1.15,50.0,71,95,12.75,overcast clouds
133,Nanortalik,GL,60.14,-45.24,46.51,79,0,5.53,clear sky
134,Hobart,AU,-42.88,147.33,41.0,75,40,5.82,scattered clouds
135,Zaozerne,UA,45.16,33.28,70.83,46,0,6.38,clear sky
136,Mount Isa,AU,-20.73,139.5,48.2,42,0,13.33,clear sky
137,Weyburn,CA,49.67,-103.85,80.01,26,0,5.01,clear sky
138,Mlonggo,ID,-6.53,110.7,76.89,80,0,4.29,clear sky
139,Avera,US,33.19,-82.53,82.0,70,90,6.93,overcast clouds
