City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
232,Westport,US,84.99,clear sky,41.14,-73.36,The Westport Inn
237,Manono,CD,77.0,broken clouds,-7.3,27.42,Hotel hewa bora
238,Turayf,SA,80.6,clear sky,31.67,38.66,Swiss Spirit Hotel & Suites Turaif
239,Hobyo,SO,75.78,scattered clouds,5.35,48.53,Osmani Hotel
240,Kumano,JP,77.0,few clouds,34.34,132.59,ホテル コラソン
243,Guerrero Negro,MX,85.95,scattered clouds,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
246,Hithadhoo,MV,82.54,light rain,-0.6,73.08,Scoop Guest House
251,Itarema,BR,78.15,few clouds,-2.92,-39.92,Windvillage
252,Kijang,KR,75.2,scattered clouds,35.24,129.21,Brown Dot Gijang Yeonhwari
253,Nago,JP,82.4,overcast clouds,26.59,127.98,Hotel Yugaf Inn Okinawa
259,Niquelandia,BR,81.12,overcast clouds,-14.47,-48.46,Hotel Suinã
260,Miri,MY,75.2,few clouds,4.41,114.01,"Mega Hotel, Miri"
261,Mitsamiouli,KM,75.78,clear sky,-11.38,43.28,Foyer ADM
265,Bonthe,SL,77.22,moderate rain,7.53,-12.51,Bonthe Holiday Village
266,Padang,ID,78.31,overcast clouds,-0.95,100.35,Mercure Padang
267,Dong Hoi,VN,81.59,overcast clouds,17.48,106.6,Nam Long Hotel
279,Ndjole,GA,76.26,overcast clouds,-0.18,10.76,Motel Kedyann
281,Lompoc,US,75.99,clear sky,34.64,-120.46,Holiday Inn Express Lompoc
285,Katsuura,JP,77.0,overcast clouds,35.13,140.3,Katsuura Hotel Mikazuki
287,Nalut,LY,83.16,clear sky,30.33,10.85,
288,San Lawrenz,MT,82.0,clear sky,36.06,14.2,San Andrea Hotel
290,Cedar City,US,89.6,clear sky,37.68,-113.06,Hampton Inn Cedar City
297,Kamra,PK,84.0,mist,33.75,73.51,Forest Touring Lodge
301,Kaseda,JP,77.0,mist,31.42,130.32,Sun Stay Kaseda
305,Waynesville,US,75.99,light rain,35.49,-82.99,Best Western Smoky Mountain Inn
306,Kalmunai,LK,79.16,clear sky,7.42,81.82,VS Villa
307,Port-Gentil,GA,78.8,broken clouds,-0.72,8.78,Fengshui Residence
308,Halifax,CA,75.99,broken clouds,44.65,-63.57,Hotel Halifax
310,Fare,PF,77.4,clear sky,-16.7,-151.02,Maitai Lapita Village Huahine
311,Atotonilco El Alto,MX,81.97,few clouds,20.55,-102.52,FRACCIONAMIENTO LOMAS DEL VALLE RESIDENCIAL
315,Daru,PG,75.54,overcast clouds,-9.08,143.21,New century hotel
316,Sola,VU,80.98,light rain,-13.88,167.55,Leumerus Bungalows
323,Araceli,PH,83.89,overcast clouds,10.55,119.99,JBryan Traveler's Inn
324,Kribi,CM,76.26,moderate rain,2.95,9.92,Les Vagues bleues
327,Salinopolis,BR,81.03,overcast clouds,-0.61,-47.36,Hotel Salinópolis
329,Goderich,CA,84.99,clear sky,43.75,-81.72,Harmony Inn
338,Sabang,ID,83.52,scattered clouds,5.89,95.32,Hotel Citra
340,Hirara,JP,84.81,light rain,24.8,125.28,Hotel Atoll Emerald Miyakojima
343,Ribeira Grande,PT,75.2,scattered clouds,38.52,-28.7,Quinta da Meia Eira
347,Nara,JP,81.0,scattered clouds,34.69,135.8,Guesthouse Nara Komachi
350,Port Hawkesbury,CA,77.0,scattered clouds,45.62,-61.35,Hearthstone Inn Port Hawkesbury
351,Hoa Binh,VN,82.4,few clouds,20.81,105.34,Hoa Dao Hotel
352,Paciran,ID,76.64,few clouds,-6.88,112.38,Tanjung Kodok Beach Resort
355,Meulaboh,ID,76.96,overcast clouds,4.14,96.13,Kost Pria
358,Ipixuna,BR,78.8,broken clouds,-1.76,-48.8,Casa da Oscarina
359,Kralendijk,BQ,87.8,clear sky,12.15,-68.27,Divi Flamingo Beach Resort & Casino
360,Formello,IT,77.0,clear sky,42.08,12.4,Antica Pietrara
361,Half Moon Bay,US,80.01,smoke,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
364,Darab,IR,78.78,overcast clouds,28.75,54.54,Naghshe shapoor Hotel
366,Bengkulu,ID,75.81,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
368,Athens,GR,84.0,few clouds,37.98,23.72,Novotel Athenes
369,Garcia,MX,89.6,broken clouds,25.82,-100.58,MONASTERIO FRANSISCANO POR LA PAZ
374,Praia,CV,82.4,broken clouds,14.92,-23.51,LT Aparthotel
381,Kirakira,SB,81.25,moderate rain,-10.45,161.92,SanBiz Lodge
383,Broome,US,84.0,light rain,42.25,-75.83,Chenango Valley State Park
385,Waddan,LY,77.92,clear sky,29.16,16.14,محل الشريف محمد العايب
386,Banjar,ID,77.0,scattered clouds,-8.19,114.97,The Hamsa Resort
389,Natal,BR,78.8,scattered clouds,-5.79,-35.21,Villa Park Hotel | Natal
396,Cravo Norte,CO,82.49,moderate rain,6.3,-70.2,Hotel El Puerto
397,Pochutla,MX,82.99,overcast clouds,15.74,-96.47,Hotel Posada San Jose
399,Bandarbeyla,SO,75.87,overcast clouds,9.49,50.81,REER XOOSHLE GROUP
400,Susanville,US,84.99,haze,40.42,-120.65,Red Lion Inn & Suites Susanville
401,Tabou,CI,75.7,overcast clouds,4.42,-7.35,hotêl doufoulougou
403,Kuching,MY,78.8,thunderstorm,1.55,110.33,Hilton Kuching
404,Darnah,LY,78.75,clear sky,32.77,22.64,زاوية الرفاعي
405,Timmins,CA,78.8,scattered clouds,48.47,-81.33,The Senator Hotel & Conference Centre
406,Sioux Lookout,CA,77.0,broken clouds,50.1,-91.92,Knobby's Fly-In Camps
408,Dhadar,IN,83.35,clear sky,28.33,75.06,ढाढर
409,Methoni,GR,77.0,clear sky,36.82,21.7,Methoni Beach Hotel
418,Kavaratti,IN,81.75,light rain,10.57,72.64,Bismillah Hotel And Lodging
422,Sibolga,ID,75.76,scattered clouds,1.74,98.78,Hotel Syariah CN Darussalam
425,Jhudo,PK,83.57,overcast clouds,24.96,69.3,Haji Ismail Ameen Nagori
426,Morgan City,US,89.6,scattered clouds,29.7,-91.21,Hampton Inn & Suites Morgan City
430,Tiznit,MA,89.56,broken clouds,29.58,-9.5,
433,Guanica,PR,86.0,light rain,17.97,-66.91,Copamarina Beach Resort & Spa
434,Puerto Escondido,MX,80.6,moderate rain,15.85,-97.07,Aldea del Bazar Hotel and Spa
436,Kahului,US,89.6,few clouds,20.89,-156.47,Maui Seaside Hotel
438,Camocim,BR,79.66,clear sky,-2.9,-40.84,Hotel Ilha do Amor
441,Pitimbu,BR,77.0,scattered clouds,-7.47,-34.81,Reserva do Abiaí
444,Houma,US,86.0,scattered clouds,29.6,-90.72,Courtyard by Marriott Houma
446,Baculin,PH,78.01,clear sky,7.45,126.58,Shovy's Cove
452,Arlit,NE,85.37,overcast clouds,18.74,7.39,Hôtel Telwa Bungalow
455,Komsomolskiy,UZ,77.0,clear sky,40.43,71.72,Ikathouse
465,Nieuw Amsterdam,SR,84.2,shower rain,5.88,-55.08,Hotel Stardust
466,Nurota,UZ,80.6,scattered clouds,40.56,65.69,Guest House Ruslan Nurata & Tours
469,Ibra,OM,80.06,overcast clouds,22.69,58.53,مزرعة راحة النفوس المنزفة
470,Moses Lake,US,82.4,clear sky,47.13,-119.28,Ramada by Wyndham Moses Lake
472,Latung,PH,83.05,light rain,5.5,120.88,
477,Gat,IL,82.0,clear sky,31.61,34.76,רגע בנחת
478,The Valley,AI,87.8,scattered clouds,18.22,-63.06,CeBlue Villas & Beach Resort
481,Itoman,JP,82.4,light intensity shower rain,26.12,127.67,Southern Beach Hotel & Resort Okinawa
483,Rongcheng,CN,77.59,clear sky,30.63,117.85,Shell Shandong Liaocheng Development District South Huangshan Road Hotel
484,Turan,VN,78.8,scattered clouds,16.07,108.22,Grand Mercure Danang
486,Lodwar,KE,85.44,overcast clouds,3.12,35.6,Turkwel Lodge
487,San Javier,ES,81.0,scattered clouds,37.81,-0.84,Hotel Mar Menor
489,Nishihara,JP,82.4,heavy intensity rain,26.18,127.76,Minshuku Agaihama
493,Gaya,IN,77.0,light rain,24.78,85.0,Hotel Viraat Inn
494,Palasa,IN,80.01,overcast clouds,18.77,84.42,Malla Krishana apartment
496,Poplar Bluff,US,90.0,clear sky,36.76,-90.39,Holiday Inn Poplar Bluff
504,Aska,IN,79.77,overcast clouds,19.61,84.67,"Shree Kesab Motors,Aska"
506,Ruwi,OM,86.0,overcast clouds,23.6,58.55,Al Falaj Hotel
508,Sur,OM,80.38,scattered clouds,22.57,59.53,Sur Plaza Hotel
509,Ankola,IN,77.86,light rain,14.67,74.3,TAVARU MANJAGUNI ROAD
511,Praia Da Vitoria,PT,78.8,few clouds,38.73,-27.07,Hotel Branco I
515,Vega De Alatorre,MX,85.64,light rain,20.03,-96.63,Hotel Deluxe
517,Depok,ID,80.01,haze,-6.4,106.82,Hotel Santika Depok
